name= superafollowup
sprite= LIARA_SPECIAL_FOLLOWUP
XImageStart=0
YImageStart= 0
Width=900
Height=650
FrameCount=16
Columns=4
FrameLength=0.018
StartFrame=7
CharacterState=STANDING
IsAttack=true
XMovement=0,0,0,20,20,20,20,20,20,20,15,10,8,8,8,6,6
Hurtbox=[ 0;411;541;294;149
1;411;541;294;149
2;411;541;294;149
3;411;541;294;149
4;411;541;294;149
5;411;541;294;149
6;411;541;294;149 
7;411;541;294;149
8;411;541;294;149
9;411;541;294;149
10;411;541;294;149
11;411;541;294;149
12;411;541;294;149
13;411;541;294;149
14;411;541;294;149 
15;411;541;294;149 ]
NextAnimation=superaslash
